Name,Total
A. Murgia,231.0
I. Ávila,306.0
T. Kaminski,213.0
K. Zohore,250.0
L. Ceppitelli,225.0
Nuno Coelho,254.0
C. Mulgrew,234.0
D. Dwyer,292.0
J. Carrizo,231.0
F. Peluso,238.0
M. van der Werff,236.0
M. Piedrahita,303.0
V. Ayala,292.0
R. Alvarado,294.0
D. Rossi,319.0
F. Pisacane,279.0
U. Ćosić,262.0
Sebá,318.0
D. Peralta,198.0
R. Koch,243.0
A. Ghazal,245.0
A. Federici,212.0
David Simón,280.0
M. Oršić,324.0
Alexandre Frandeira,211.0
A. Tettey,270.0
G. Hanley,227.0
Cristian Herrera,257.0
R. Green,195.0
Gelson Dala,330.0
M. Higashiguchi,173.0
Jorge Teixeira,227.0
R. Woods,299.0
S. Martinsson Ngouali,293.0
W. Ángel,221.0
D. Villalpando,289.0
M. Šitum,294.0
T. Carroll,282.0
R. Elliot,216.0
Sergio Sánchez,251.0
I. Cofie,281.0
S. Byram,291.0
M. Cauteruccio,278.0
K. Molino,299.0
L. Ariaudo,229.0
P. Klingmann,265.0
M. Thuram,288.0
Y. Cahuzac,229.0
Elustondo,247.0
S. Downing,274.0
L. Immers,209.0
C. Menéndez,264.0
Vágner Corraldo,304.0
Luso,268.0
C. Mavinga,288.0
F. Melchiorri,297.0
T. Doumbia,281.0
A. Trondsen,302.0
Sivera,234.0
Allison Sireo,252.0
Z. Stieber,284.0
S. Berahino,278.0
O. Skúlason,257.0
L. Koutris,313.0
M. Pektemek,288.0
R. Schüller,255.0
Sergio Herrera,201.0
E. Kawashima,218.0
L. Memushaj,302.0
E. Fernandes,276.0
M. Valenzuela,299.0
H. Lansbury,256.0
A. Gunn,202.0
A. Kamara,297.0
R. Riou,225.0
Jung Sung Ryong,174.0
A. Caracciolo,259.0
Ewandro,299.0
G. Holtmann,319.0
Erik Morán,208.0
Tobias Figueiredo,230.0
I. Rossi,276.0
Miltisco Paulino,251.0
P. Brlek,287.0
G. Bettini,285.0
R. Kent,330.0
Jordi Calavera,308.0
M. Lešković,244.0
G. Friend,266.0
S. Aydoğdu,268.0
S. Gashi,282.0
O. Deschacht,221.0
E. Cecchini,286.0
T. Knipping,223.0
H. Yamaguchi,306.0
V. Aguilera,204.0
J. Cavalli,282.0
L. Pasciuti,317.0
M. Makuszewski,330.0
L. Albertengo,286.0
Serginho,269.0
F. Schnellhardt,304.0
M. Pavone,224.0
T. Goiginger,303.0
K. Beckerman,206.0
Luis García,233.0
Lyanco,238.0
A. Luci,290.0
Luca Sangalli,271.0
S. Ameobi,298.0
J. Price,255.0
Go Yo Han,324.0
O. Hawsawi,279.0
Jaime Romero,306.0
S. Grippo,237.0
F. Chalov,306.0
L. Siligardi,302.0
D. Appiah,300.0
S. Silva,205.0
J. Paterson,315.0
T. Barkhuizen,330.0
I. Bangoura,268.0
S. Memišević,213.0
F. Tabanou,282.0
T. Hoogland,223.0
G. Pezzella,295.0
D. Kolovetsios,253.0
Enric Gallego,253.0
J. Garner,281.0
K. Bonifazi,229.0
Souza,274.0
J. Adéoti,232.0
R. Caroca,291.0
D. Rosero Valencia,269.0
M. Jonjić,269.0
A. Tarek,242.0
O. Fink,219.0
F. Macheda,272.0
M. Duffy,279.0
Y. Chibsah,298.0
T. Schütz,260.0
Rodrigo Becão,239.0
M. Loum,220.0
D. Fletcher,213.0
Vadillo,327.0
P. Klement,287.0
A. Gogia,305.0
A. Cole,274.0
K. Tsimikas,318.0
Mateus,302.0
Babanco,282.0
X. Mercier,301.0
D. Nugent,288.0
N. Fernández,207.0
O. Hernández,323.0
E. Mathoho,226.0
B. Sarr,252.0
A. Sagal,288.0
J. Grimm,233.0
M. Nyatama,268.0
B. Touré,220.0
Diego González,251.0
S. Rosted,233.0
Y. Suzuki,279.0
I. Sacko,305.0
Flavio Paixão,295.0
G. Fernández,269.0
J. Hayes,323.0
T. Ouwejan,285.0
D. Guerrero,213.0
W. Routledge,287.0
C. Paterson,294.0
Hwang Ui Jo,307.0
G. Kvilitaia,285.0
R. Krishna,336.0
T. Castagne,279.0
Léo Jardim,190.0
Heitor Gesse,289.0
L. Majer,284.0
R. Carrera,304.0
B. Celina,301.0
R. Matarrita,305.0
L. Vitale,301.0
R. Gestede,236.0
Pedro López,274.0
J. Lucumi,267.0
W. Endo,271.0
João Bardinho,303.0
F. Barrientos,274.0
P. Glykos,229.0
C. Moritz,266.0
E. Kachunga,299.0
S. Mendoza,327.0
Diego Galo,229.0
Lins,311.0
G. Pegolo,206.0
U. Bulut,225.0
Dani Calvo,224.0
Alam Araújo,284.0
F. Andrijašević,260.0
I. Fiolić,304.0
M. Caire,301.0
C. Adams,322.0
P. Škuletić,231.0
G. Lux,166.0
P. Kieszek,203.0
B. Cortés,202.0
S. Nishikawa,210.0
M. Lustig,226.0
A. Bjelica,264.0
G. Alcoba,233.0
J. Rhodes,264.0
J. Campos,264.0
Borja Lasso,242.0
O. Cabezas,264.0
G. Sunu,282.0
D. Williams,286.0
Nuno Santos,305.0
N. González,303.0
M. Boland,288.0
M. Bianchetti,249.0
G. Celis,273.0
Somália,304.0
Y. El Ghanassy,303.0
E. Finlay,310.0
A. Uchida,277.0
N. Brighenti,275.0
I. Tajouri-Shradi,315.0
S. Abdullahi,305.0
Lionn,285.0
J. Larsson,311.0
T. Pachonik,281.0
F. Bellugou,192.0
Osmar,196.0
S. Motta,274.0
Pau Torres,244.0
André Pereira,257.0
Tiago Sá,157.0
M. Coda,252.0
W. Mesloub,276.0
M. Capuano,264.0
A. Henríquez,164.0
G. Dorrans,257.0
Víctor Díaz,267.0
T. Makino,271.0
J. Mensah,254.0
I. Sylla,279.0
Cyriac,324.0
Bernardo,196.0
P. Gollini,222.0
M. Vlap,288.0
Tiago Pombeira,307.0
Y. Soteldo,312.0
Rafa López,221.0
A. Nocerino,250.0
J. Harper,284.0
R. De Laet,278.0
J. Zimmer,308.0
C. Săpunaru,260.0
Afonso Figueiredo,295.0
J. Omlin,200.0
R. Yaremchuk,283.0
F. Wiedwald,195.0
A. Galabinov,218.0
Maikel Mesa,276.0
B. Garnica,307.0
D. Arslanagic,192.0
H. Henao,272.0
Y. Kashiwa,331.0
J. Gol,272.0
N. Ghilas,265.0
B. McKay,331.0
Carraça,286.0
Adriano Facchini,172.0
A. Callens,248.0
J. Perbet,242.0
M. Antonsson,283.0
Carlitos,275.0
C. Lucchetti,198.0
J. Bostock,269.0
V. Milinković-Savić,188.0
G. Peñalba,221.0
L. Kleinheisler,303.0
R. Aliendro,304.0
L. Seijas,278.0
L. Fuentes,267.0
R. Hassan,315.0
L. Di Plácido,306.0
Heriberto Tavares,310.0
Pulido,202.0
Ewerton,258.0
G. Verón,329.0
O. Boscagli,269.0
C. Jerome,275.0
E. Muñoz,193.0
U. Đerić,249.0
E. Albayrak,302.0
F. Calvo,270.0
F. Costa,283.0
Xavi Torres,229.0
A. Cadavid,176.0
J. Spector,261.0
Felipe,194.0
M. Dijks,254.0
M. Hassen,221.0
M. Bourabia,270.0
L. Hejda,247.0
E. Bergström,242.0
Shikabala,297.0
Aurélio Buta,325.0
C. Penilla,307.0
D. Cools,281.0
D. Muñoz,316.0
G. Sandoval,314.0
Y. Bodiger,228.0
T. Kleindienst,264.0
J. Abella,287.0
U. Emanuelson,305.0
R. Tesche,262.0
B. Nivet,208.0
Léo Jabá,294.0
Paulo Henrique,270.0
Y. Meriah,273.0
A. Soto,287.0
J. Quiñones,317.0
Domingos Duarte,203.0
E. Başsan,299.0
F. Avenatti,224.0
V. Fiorillo,194.0
O. González,210.0
Zheng Zhi,239.0
M. Henriksen,265.0
Paulolettinho,300.0
S. Malezas,225.0
W. Lautoa,253.0
M. Fofana,335.0
J. Cornejo,302.0
J. Duque,274.0
E. Horvath,217.0
J. McClean,298.0
A. Guédioura,262.0
E. Valentini,294.0
J. Šimunović,246.0
C. Kouamé,291.0
N. De Pauw,291.0
Alex das Freitas,267.0
Mossa,290.0
J. Marriott,323.0
J. Riojas,325.0
L. Fröde,221.0
L. Pokorný,238.0
D. Vavro,240.0
M. Bjärsmyr,238.0
Oriol Riera,260.0
M. Maolida,309.0
M. Mostefa,220.0
R. Carrascal,276.0
O. Mangala,285.0
M. Barthelmé,292.0
A. Novikovas,329.0
Ji Dong Won,283.0
R. Rúnarsson,196.0
D. Rotariu,297.0
Paulinho,304.0
Juan Carlos,274.0
M. Korhut,291.0
S. Piette,267.0
N. Ortigoza,191.0
António Filipe,173.0
M. Pereira Lage,301.0
Jean Cléber,262.0
O. Danchenko,300.0
C. Pantilimon,189.0
Guillermo,297.0
O. Vizcarrondo,161.0
E. Aguirre,319.0
Edu Machado,291.0
H. Dean,228.0
D. Andrade,302.0
D. Martínez,288.0
C. Bryson,283.0
B. Başaçıkoğlu,312.0
K. Mrabti,319.0
M. Fraga,215.0
I. Oblyakov,283.0
S. Logan,304.0
D. Kaiser,268.0
D. Silva,290.0
A. Nwakaeme,304.0
J. Sambenito,281.0
Toribio,238.0
M. Yumlu,183.0
A. Milošević,242.0
D. Nounkeu,285.0
M. Barragán,288.0
M. Ilaimaharitra,263.0
H. González,173.0
J. El Yamiq,280.0
João Teixeira,299.0
M. Doumbia,318.0
R. Brégerie,211.0
A. Diallo,206.0
M. Bruno,298.0
J. Faussurier,286.0
C. Wickham,237.0
A. Abrashi,281.0
K. Nakamura,212.0
Suso Santana,324.0
J. Bowen,297.0
Garrido,172.0
E. N'Dicka,259.0
J. González,294.0
M. Suárez,281.0
Y. Andreu,266.0
J. Obita,303.0
Z. Erdal,276.0
L. Capezzi,239.0
Elsinho,287.0
D. Asprilla,293.0
S. Torrico,198.0
Léo Gamalho,209.0
J. Plašil,213.0
T. Darikwa,310.0
Guilherme Sityá,304.0
Escassi,238.0
G. Achilier,198.0
Verza,195.0
B. Salamon,210.0
A. Forshaw,271.0
J. Quiñones,163.0
W. Camacho,290.0
T. Buffel,248.0
Xisco,233.0
Adeilson Gesser,321.0
Roderick Miranda,186.0
N. Besara,288.0
D. Zbozień,278.0
J. Cuero,335.0
R. Coly,296.0
K. Müller,212.0
R. Zozulya,304.0
R. Mphahlele,264.0
K. Lee,271.0
B. Koita,286.0
Heltinho Melo,306.0
Nascimentardo,306.0
P. Barrera,295.0
R. Pucino,291.0
Miguel Rodrigues,252.0
C. Pinares,307.0
A. Gonçalves,265.0
K. Musona,319.0
Tiago,299.0
N. Leiva,289.0
A. Schiavone,264.0
Manuel da Costa,221.0
S. Hierländer,284.0
Bruno Alves,213.0
J. Velázquez,264.0
M. Chanot,189.0
O. McBurnie,265.0
J. Onomah,286.0
M. Madl,232.0
Cucurella,310.0
C. Araujo,270.0
M. Hartmann,207.0
M. Spiranovic,235.0
Chong Te Se,264.0
M. Albornoz,284.0
A. Nukan,177.0
L. Szukała,156.0
E. Perlaza,288.0
M. Dal Hende,295.0
Emerson Avintes,254.0
Saberto Botelho,258.0
J. Dahlin,181.0
Martin Cordeia,243.0
A. Oukidja,213.0
B. Angulo,312.0
S. Burchert,198.0
Nélson Monte,238.0
D. Rojas,273.0
Charles,178.0
H. Wolf,308.0
E. Videla,277.0
P. Ledesma,236.0
R. van Drongelen,247.0
F. Jensen,282.0
Artur,284.0
Edgar Costa,297.0
S. Martínez,264.0
D. Fisher,299.0
L. Clarke,245.0
T. Hubočan,255.0
Dani Castellano,286.0
Javi Castellano,218.0
P. Olkowski,297.0
M. Caligiuri,271.0
Marlion Rolim,280.0
D. Burn,182.0
S. Schwab,275.0
O. Aina,297.0
A. Mina,206.0
S. Guirassy,273.0
L. Paqarada,292.0
J. Sánchez,306.0
J. Wallace,297.0
Jota,294.0
Jesús Imaz,299.0
Dani Hernández,178.0
K. Diatta,336.0
X. Chavalerin,268.0
G. Tzavellas,259.0
O. Omoijuanfo,285.0
S. Dimitrievski,179.0
Eltildo Bessa,342.0
B. Marshall,284.0
N. Mendez-Laing,309.0
Álex Martínez,284.0
Z. Bakkali,330.0
G. Gimbert,237.0
M. Gajić,268.0
S. Aigner,294.0
P. Köpke,301.0
F. Klos,241.0
K. McLean,295.0
M. Olsson,302.0
C. Nyman,310.0
O. Estupiñán,270.0
B. Wright,252.0
J. Bednarek,246.0
L. Vibe,328.0
O. Jiménez,156.0
Alejandro Rodríguez,301.0
T. Elphick,197.0
David Ferreiro,325.0
M. Gobbi,239.0
R. Insigne,314.0
N. Gyömbér,214.0
Túlio Sandoiro,268.0
Hélder Barbosa,299.0
B. Sako,284.0
M. Domizzi,165.0
P. Oniangué,265.0
P. Onuachu,262.0
F. Balmont,214.0
Antoñito,319.0
A. Baby,306.0
B. Petković,225.0
Nélson Lenho,269.0
Gumbau,178.0
C. Aboagye,320.0
Y. Erdoğan,326.0
Paulinho,281.0
J. Cooper,217.0
S. Malone,287.0
M. Maloča,263.0
G. Berardi,292.0
Samu García,274.0
T. Derijck,222.0
A. Khalili,277.0
Y. Endo,206.0
E. Kaçe,293.0
D. Machado,298.0
S. Plavšić,326.0
H. Reed,257.0
S. Klaiber,295.0
J. Boga,305.0
D. Contento,273.0
S. Padoin,273.0
D. Foulquier,276.0
Paco Montañés,330.0
T. Dingomé,281.0
D. Kądzior,306.0
E. Taşdemir,313.0
P. Coutts,266.0
D. Dumić,219.0
Juan Carlos,242.0
S. Privat,262.0
G. Montiel,303.0
João Gamboa,259.0
A. Zhirov,208.0
M. Tosetti,296.0
André Milazisco,177.0
M. Colin,292.0
F. Jozefzoon,334.0
D. Moor,220.0
A. Turan,174.0
O. Bayram,315.0
S. Bossut,205.0
J. Irvine,279.0
D. Biraschi,246.0
A. Bouchalakis,261.0
A. Voglsammer,291.0
Son Jun Ho,238.0
A. El Said,288.0
A. Yiadom,309.0
W. Sobota,337.0
I. Latovlevici,281.0
B. Leal,229.0
E. Zelazny,175.0
A. Brignoli,150.0
K. Narey,309.0
M. Pugh,275.0
S. McTominay,255.0
Fabrício Baiano,266.0
F. Navarro,311.0
R. Bajić,257.0
M. Le Bihan,262.0
A. Rentería,304.0
A. Leya Iseka,302.0
André Moreira,195.0
C. Gülselam,231.0
M. Rodríguez,296.0
G. Litteri,287.0
Raphael Rossi,224.0
B. Kamara,168.0
R. Oshima,322.0
L. Bruins,253.0
N. Kebano,307.0
Wiliam Santinho,153.0
L. Sadiku,240.0
Y. Barbet,269.0
Javi Moyano,299.0
J. McLaughlin,238.0
M. Büchel,294.0
B. Oviedo,299.0
J. Osorio,286.0
Wagner Orsinho,294.0
J. Elías,277.0
Evandro,277.0
Manu Morlanes,282.0
K. Großkreutz,273.0
T. Kessler,207.0
M. Beevers,206.0
D. Gastaldello,182.0
P. Faragò,260.0
C. Ramírez,243.0
I. Bennacer,280.0
O. Coulibaly,279.0
Alex Alegría,231.0
C. Adjapong,284.0
Dorado,181.0
J. Walters,248.0
A. De Sart,266.0
Luisinho Conradi,289.0
B. Özcan,279.0
P. Bamford,282.0
R. López,283.0
F. Monteseirín,211.0
A. Calabresi,245.0
J. Léa Siliki,275.0
J. De Sart,249.0
M. Sylla,289.0
K. Boli,270.0
D. Avdijaj,297.0
Nauzet,180.0
G. Molins,278.0
M. Hector,244.0
S. Andersson,268.0
F. Erpen,192.0
F. Meza,263.0
D. Lemos,270.0
Z. Kuzmanović,193.0
Lisandro Semedo,308.0
J. Prior,203.0
V. Salazar,334.0
A. Diomande,299.0
A. Niane,283.0
Stephen Eustáquio,267.0
W. Montoya,299.0
Kadu,239.0
D. Bentley,203.0
B. Drągowski,193.0
G. Mancini,201.0
T. Clarke,230.0
F. Boeckx,175.0
Adryan,302.0
M. Grüttner,264.0
J. Cevallos,272.0
L. Acosta,255.0
M. Guendouzi,257.0
F. Nita,148.0
P. Ebert,276.0
D. Marshall,201.0
K. Peterson,300.0
S. Lammers,276.0
A. King,268.0
P. Mwene,311.0
Andrei Girotto,233.0
Danilo Silva,272.0
B. Kuscevic,255.0
D. Sallói,299.0
Ukra,299.0
B. Acosta,217.0
Tramontinaldo,282.0
S. Hernández,262.0
L. Lacroix,166.0
A. Godoy,228.0
N. McGinn,319.0
T. Boyd,317.0
M. Eikrem,268.0
Kang Hyeon Mu,190.0
H. Toledo,298.0
M. Lacen,243.0
E. Adu,267.0
L. Antei,222.0
Adriano,285.0
N. Foor,313.0
C. Quintana,205.0
Ângelo Neto,264.0
A. Tinnerholm,299.0
V. Verre,286.0
I. Provedel,186.0
R. Herrera,242.0
J. Féret,223.0
J. Attamah,262.0
Bremer,261.0
Dorca,209.0
Defendi,192.0
Jonas,250.0
P. Armero,317.0
H. Van Der Bruggen,249.0
L. Garritano,325.0
K. Balanta,280.0
Silvosinho,266.0
Tony Muttinho,278.0
D. Petratos,313.0
Manu Barreiro,242.0
R. Köse,156.0
Oier,285.0
N. Rimando,209.0
J. Arzura,279.0
S. Davis,276.0
Nacho Vidal,291.0
M. Samudio,283.0
M. Martin,272.0
F. Cubero,239.0
R. Baca,299.0
Ivo Pinto,309.0
S. Doukara,249.0
Y. Shakhov,275.0
O. Çek,303.0
O. Zinchenko,287.0
S. Limbombe,333.0
K. Galanopoulos,288.0
Feng Xiaoting,233.0
M. Jevtovic,240.0
Arroyo,281.0
Joel Pereira,188.0
Xavier,307.0
E. Remedi,263.0
L. Mareček,276.0
C. Martina,266.0
K. Sugimoto,285.0
A. Wilkinson,198.0
Mano,314.0
B. Rienstra,265.0
Z. Kalmár,269.0
P. Aquino,300.0
R. Faty,236.0
M. te Wierik,248.0
J. Callsen-Bracker,170.0
J. Isijara,287.0
R. Torres,191.0
M. Çelik,295.0
B. Sharp,263.0
T. Tomiyasu,268.0
G. Thorne,238.0
O. Rashid,276.0
M. Al Owais,195.0
S. Palacios,337.0
D. Benlamri,234.0
O. Haddadi,246.0
N. Katić,265.0
S. Thern,306.0
N. Bitton,213.0
A. Søderlund,260.0
A. Ateef,229.0
E. García,299.0
Alexandre Guedes,267.0
R. Hilbert,270.0
Álvaro Lemos,299.0
Flávio,190.0
Pombaxinho,204.0
R. Sawyers,287.0
D. Lekić,218.0
N. Champagne,199.0
Fábio,308.0
Deivid,247.0
B. Hämäläinen,279.0
S. Dubarbier,296.0
L. Cavanda,292.0
Patrick,296.0
C. Cisneros,300.0
J. Brownhill,285.0
Heitinho Zanon,269.0
J. Bolingi,277.0
E. Conde,159.0
T. Hemed,231.0
L. Krajnc,248.0
P. Terracciano,191.0
N. Pasquini,302.0
G. Acosta,313.0
Fernando Boldrin,271.0
Fidel,304.0
M. Rodriguez,257.0
K. Sema,296.0
Y. Candelo,330.0
R. García Guerreño,208.0
A. Maitland-Niles,312.0
Nathael Silbeira,137.0
Marco Rocha,266.0
S. Colombi,201.0
Unai Medina,289.0
Jair,301.0
J. Lynch,238.0
C. Fai,328.0
M. Rygaard,294.0
M. Djenepo,325.0
M. Männel,204.0
M. Dawson,170.0
Cristian López,289.0
A. Esiti,188.0
O. Govea,271.0
Eduardo Fonseira,170.0
R. Beerens,289.0
Sebas Coris,296.0
B. Róchez,290.0
Carlos Martínez,237.0
Cao Yunding,302.0
Eguaras,240.0
O. Pérez,258.0
J. Siebenhandl,221.0
A. Kolomeytsev,255.0
Crivellaro,264.0
L. Lollo,300.0
S. Maguire,337.0
Cafú,253.0
Zapater,222.0
J. Botaka,312.0
J. Böðvarsson,275.0
N. Sarenren Bazee,316.0
R. Bianco,286.0
O. Adın,280.0
A. Pešić,244.0
G. Hendrickx,278.0
J. Hochscheidt,285.0
J. Cabezas,242.0
Jony Reitosa,313.0
P. Šteinbors,185.0
K. Çörekçi,307.0
J. Murphy,308.0
R. Gagliolo,295.0
D. Solanke,269.0
F. Sacko,307.0
J. Sýkora,317.0
D. de Buen,260.0
F. Veseli,270.0
A. González,302.0
D. John,328.0
D. Ousted,185.0
A. Preciado,305.0
Filipe Chaby,305.0
F. Torijano,248.0
J. Valenzuela,254.0
Barbosaldinho,246.0
Santi Comesaña,241.0
Luís Machado,314.0
Han Chan Hee,284.0
D. Geiger,284.0
F. Bradarić,254.0
L. Figueroa,284.0
K. Stuhr-Ellegaard,180.0
F. Zampano,295.0
U. Hünemeier,227.0
A. Canelo,301.0
F. Ogier,219.0
Luiz Antônio,265.0
J. Maclaren,329.0
G. Þórarinsson,249.0
B. Leroy,171.0
M. Sampirisi,262.0
C. Higuita,285.0
Wilson Manafá,298.0
B. Barišić,268.0
João Lucas,276.0
V. Kadlec,322.0
S. Lundevall,300.0
Alberto Benito,288.0
H. Mendyl,312.0
J. Paintsil,327.0
T. Martínez,287.0
M. Thorsby,272.0
B. Berisha,264.0
Ramón Folch,211.0
S. Janko,316.0
Nano,311.0
C. Ganea,299.0
Braga,222.0
A. Hutton,264.0
G. Campi,205.0
De las Cuevas,291.0
A. Feick,283.0
Edson Farias,311.0
Lucas Possignolo,240.0
G. Makaridze,160.0
Kim Bo Kyung,292.0
M. Michel,198.0
O. Kemen,286.0
M. Saito,309.0
M. Kelemen,161.0
Lourival Dinisco,246.0
Jairo Farnias,247.0
P. Anton,251.0
S. Popov,268.0
Y. Kakitani,314.0
E. Rolland,250.0
G. Suazo,276.0
E. Falkenburg,236.0
L. Landre,211.0
S. Vergini,189.0
Carlos Gutiérrez,190.0
J. Bokila,279.0
T. Kristensen,225.0
G. Bellusci,235.0
H. Nielsen,268.0
C. Ramirez,249.0
D. Cabrera,273.0
G. Mackay-Steven,322.0
F. Platte,252.0
P. Pentke,173.0
M. Liendl,259.0
F. Seymour,271.0
R. Ripart,283.0
Gerard Valentín,335.0
F. Schultz,301.0
L. Trałka,226.0
A. Dona Ndoh,261.0
M. Yattara,279.0
R. Nelson,322.0
M. Torrén,265.0
S. Kerk,262.0
B. Davies,267.0
Iago,224.0
Victor Fachinhas,180.0
K. Leerdam,289.0
Javi Ros,277.0
C. Şahin,341.0
M. Matos,229.0
William,294.0
J. Delaplace,267.0
C. Janker,224.0
B. Heynen,262.0
Bismark,323.0
Ortuño,253.0
M. Azira,267.0
J. Rodríguez,245.0
F. González,280.0
M. Falzerano,336.0
C. Ascues,256.0
Akapo,300.0
M. Friedrich,240.0
David Fernández,230.0
R. Ziegler,237.0
A. Ábalos,247.0
V. Sarı,262.0
D. Keet,195.0
N. Leyes,248.0
P. Hatzidiakos,253.0
J. Makengo,263.0
D. Opare,318.0
D. Schmidt,253.0
L. Castaignos,277.0
R. Azeez,278.0
D. Antolić,250.0
D. Jevtić,286.0
Y. Kobayashi,286.0
E. Seka,235.0
M. Volta,258.0
Aridane,240.0
B. Schenkeveld,283.0
Allan Ardaújo,265.0
M. Bero,288.0
C. Chantôme,234.0
D. Hoesen,286.0
A. Machado,254.0
Rodolfo,302.0
M. Targett,282.0
R. Dwamena,294.0
K. Laribi,310.0
Bruno Nascimento,246.0
J. Souttar,292.0
L. Faravelli,295.0
O. Okwonkwo,313.0
D. Zuma,295.0
J. Busk,185.0
D. Delgado,312.0
N. Mihajlović,290.0
Lucas Áfrico,220.0
D. Lévêque,264.0
R. Himmelmann,183.0
Y. Kashiwagi,262.0
A. Rrahmani,237.0
P. Sagna,284.0
J. Archer,191.0
M. Pedersen,282.0
P. Helland,288.0
Y. Moreno,297.0
K. Hämäläinen,293.0
S. Pocognoli,274.0
G. Leadbitter,235.0
H. Quiñones,287.0
Ansel Barnisco,251.0
I. El Adoua,221.0
J. Angulo,281.0
J. Berthomier,281.0
E. Rolón,268.0
A. Frączczak,299.0
R. Wolski,296.0
J. Pearce,212.0
N. Moro,270.0
B. Aouacheria,281.0
J. McEachran,270.0
P. Wszołek,292.0
L. Baker,273.0
Alfonso Herrero,219.0
A. Măţel,290.0
K. Rosenberry,293.0
L. Thy,293.0
Koo Ja Ryong,285.0
D. Fry,235.0
R. Leeuwin,254.0
R. Fernández,278.0
A. Timofeev,267.0
Rodrigo Pinho,260.0
H. Vaca,295.0
J. Worrall,223.0
A. El Jadeyaoui,321.0
M. Eriksson,262.0
Y. Kalfa,270.0
C. Vilches,217.0
C. Dessers,280.0
A. Kara,243.0
C. Dunkley,230.0
F. Deli,233.0
Jefferson Santos,220.0
Kim Seung Dae,307.0
M. Mancienne,277.0
C. Gardner,236.0
M. Danielson,227.0
A. Seculin,167.0
O. Hüsing,192.0
A. Totovytskyi,265.0
Fede Vico,302.0
R. Robayo,246.0
M. Gori,266.0
Miguel Torres,220.0
Montoro,205.0
N. Paz,204.0
U. Uçar,261.0
D. Blum,308.0
M. Hefele,169.0
C. Bieler,274.0
S. Johnson,196.0
K. Coulibaly,224.0
Saúl,271.0
I. Dia,308.0
B. Myhill,204.0
D. Kuciak,176.0
Pablo Marí,220.0
Moon Seon Min,322.0
K. Steppe,210.0
C. Insaurralde,315.0
J. Domínguez,282.0
L. Gregory,281.0
M. Mittelstädt,292.0
M. Romero,284.0
D. Damjanović,220.0
Alam Basteirinho,237.0
Lee Seung Woo,292.0
N. Gorosito,256.0
M. Trávník,260.0
G. Gardner,235.0
Lee Seung Gi,280.0
C. Forsyth,249.0
D. Lenihan,240.0
F. Klein,287.0
A. Weber,155.0
F. Haugen,304.0
T. Bruns,284.0
C. González,255.0
M. Coronel,222.0
M. Schuhen,221.0
J. Knudsen,288.0
Q. Martinus,316.0
G. Gianniotas,322.0
F. De Paul,175.0
Kangin Lee,282.0
N. Carreño,287.0
J. Sánchez,284.0
Lee Jae Sung,236.0
Kim Eun Sun,279.0
D. Moreno,277.0
A. Isaksson,176.0
V. van Crooij,300.0
M. D'Alessandro,327.0
R. Windbichler,258.0
C. Corvalán,289.0
R. Raldes,218.0
C. Adam,193.0
Renaldo Justinho,295.0
Y. Wissa,319.0
A. Saldívar,228.0
A. Stoian,292.0
N. Obiora,271.0
S. Salger,277.0
B. Meling,303.0
Macarinho Louro,313.0
S. Ireland,250.0
S. De Ridder,288.0
M. Coutadeur,274.0
W. Grigg,291.0
K. Barbarouses,325.0
Ricardo Ferreira,194.0
G. Belaud,276.0
Clerc,297.0
L. Mugni,264.0
A. Faurlín,215.0
M. Barbieri,257.0
Javi Guerra,242.0
R. Braña,204.0
L. Benegas,279.0
S. Hogan,313.0
Pêpê,256.0
Park Joo Ho,291.0
R. Maiello,292.0
B. Guillaume,227.0
Vinicius Trieiro,286.0
Christian Fernández,252.0
F. Fragapane,321.0
A. Chipciu,289.0
E. Koulouris,271.0
Raphael Paneira,260.0
C. Espinoza,297.0
C. Borja,319.0
M. Pouraliganji,265.0
Jailson Oliva,316.0
Jordi Mboula,313.0
F. Hasani,296.0
J. Sambia,303.0
Jorge Sáenz,251.0
P. Mahlambi,286.0
D. McGoldrick,278.0
G. Kagelmacher,265.0
N. Leali,163.0
M. Pospíšil,285.0
A. Aguerre,207.0
M. Robak,249.0
Javi Márquez,231.0
C. Ramos,245.0
T. Bunbury,286.0
D. Cvetinović,256.0
L. Ajorque,221.0
R. Nissen Kristensen,286.0
T. Hiariej,280.0
J. Marveaux,232.0
M. Kone,297.0
F. Holland,289.0
C. Suárez,238.0
B. Safari,271.0
M. Varnier,249.0
B. Kadrii,318.0
J. Paredes,321.0
Aitor García,310.0
L. Spalvis,266.0
M. Stoppelkamp,298.0
T. Itō,331.0
Nenê,235.0
C. Strohdiek,173.0
J. Brabec,235.0
S. Çikalleshi,240.0
L. García,187.0
M. Wasilewski,159.0
S. Griesbeck,230.0
J. Benítez,307.0
Diogildo Peixe,292.0
N. Ibáñez,184.0
I. Uche,297.0
D. Dessena,263.0
R. Ovelar,230.0
V. Mannone,231.0
J. Gillet,199.0
L. Venuti,286.0
J. Meneses,327.0
G. Maniatis,275.0
A. Mabil,335.0
M. Olivera,273.0
J. Madueña,297.0
R. Kurzawa,257.0
F. Pellegrino,163.0
N. Ampomah,327.0
C. Fuentes,282.0
O. Burke,314.0
Sandro Manoel,277.0
K. Dowell,256.0
N. Leguizamón,287.0
G. Espinoza,256.0
A. Balić,243.0
M. Dos Santos,242.0
